atomic_number,mass,abundance,mass_number,mass_uncertainty,is_radioactive,half_life,half_life_unit,spin,g_factor,quadrupole_moment,parity,discovery_year,g_factor_uncertainty,abundance_uncertainty,half_life_uncertainty,quadrupole_moment_uncertainty
"52",144.967783,,"145",0.000322,"1",,msec,"0",0,0,"+","2018",0,,,0
"53",144.955845,,"145",0.000537,"1",89.7,msec,7/2,,,"+","2010",,,9.3,
"54",144.944719631,,"145",1.2e-05,"1",188,msec,3/2,,,"-","2003",,,4,
"55",144.935528927,,"145",9.733e-06,"1",582,msec,3/2,0.522000014781952,0.579999983310699,"+","1971",0.00266666687093675,,4,0.0599999986588955
"56",144.9275184,,"145",9.1e-06,"1",4.31,sec,5/2,-0.114000000059605,1.17999994754791,,"1974",0.00280000013299286,,0.16,0.0199999995529652
"57",144.921808065,,"145",1.317e-05,"1",24.8,sec,5/2,,,"+","1974",,,2,
"58",144.917265113,,"145",3.6393e-05,"1",3.01,minute,5/2,,,"-","1954",,,0.06,
"59",144.914517987,,"145",7.674e-06,"1",5.984,hour,7/2,,,"+","1954",,,0.01,
"60",144.912579151,8.293,"145",1.364e-06,"0",,,7/2,-0.187428578734398,-0.314000010490417,"-","1933",0.00114285724703223,0.012,,0.0120000001043081
"61",144.912755748,,"145",3.011e-06,"1",17.7,year,5/2,1.51999998092651,0.230000004172325,"+","1951",0.0639999955892563,,0.4,0.0799999982118607
"62",144.913417157,,"145",1.594e-06,"1",340,day,7/2,-0.319999992847443,-0.600000023841858,"-","1947",0.00314285745844245,,3,0.0700000002980232
"63",144.916272659,,"145",3.285e-06,"1",5.93,day,5/2,1.59319996833801,0.28999999165535,"+","1951",0.00280000013299286,,0.04,0.0199999995529652
"64",144.921710051,,"145",2.1165e-05,"1",23,minute,1/2,-1.48000001907349,0,"+","1959",0.0999999940395355,,0.4,0
"65",144.928717001,,"145",0.000119051,"1",30.9,sec,11/2,,,"-","1981",,,0.6,
"66",144.937473992,,"145",7e-06,"1",9.5,sec,1/2,,0,"+","1982",,,1,0
"67",144.947267392,,"145",8e-06,"1",2.4,sec,11/2,,,"-","1987",,,0.1,
"68",144.957874,,"145",0.000215,"1",900,msec,1/2,,0,"+","1989",,,200,0
"69",144.970389,,"145",0.00021,"1",3.17,usec,11/2,,,"-","1998",,,0.2,
"53",145.961846,,"146",0.000322,"1",94,msec,,,,,"2018",,,26,
"54",145.948518245,,"146",2.6e-05,"1",146,msec,"0",0,0,"+","1989",0,,6,0
"55",145.940621867,,"146",3.106e-06,"1",321.6,msec,"1",-0.513999998569489,0.209999993443489,"-","1971",0.0020000000949949,,0.9,0.0299999993294477
"56",145.9303632,,"146",1.9e-06,"1",2.15,sec,"0",0,0,"+","1970",0,,0.04,0
"57",145.925688017,,"146",1.797e-06,"1",9.9,sec,"5",,,"-","1970",,,0.1,
"58",145.918812294,,"146",1.5743e-05,"1",13.49,minute,"0",0,0,"+","1953",0,,0.16,0
"59",145.91768763,,"146",3.6882e-05,"1",24.09,minute,"2",,,"-","1953",,,0.1,
"60",145.913122459,17.189,"146",1.366e-06,"0",,,"0",0,0,"+","1924",0,0.032,,0
"61",145.91470224,,"146",4.589e-06,"1",5.53,year,"3",,,"-","1960",,,0.05,
"62",145.913046835,,"146",3.269e-06,"1",68,Myear,"0",0,0,"+","1953",0,,7,0
"63",145.917210852,,"146",6.451e-06,"1",4.61,day,"4",0.355500012636185,-0.180000007152557,"-","1957",0.00275000021792948,,0.03,0.0599999986588955
"64",145.918318513,,"146",4.376e-06,"1",48.27,day,"0",0,0,"+","1957",0,,0.09,0
"65",145.927252739,,"146",4.8159e-05,"1",8,sec,"1",,,"+","1974",,,4,
"66",145.932844526,,"146",7.187e-06,"1",33.2,sec,"0",0,0,"+","1981",0,,0.7,0
"67",145.944993503,,"146",7.071e-06,"1",3.32,sec,"6",,,"-","1982",,,0.22,
"68",145.952418357,,"146",7.197e-06,"1",1.7,sec,"0",0,0,"+","1993",0,,0.6,0
"69",145.966661,,"146",0.000215,"1",155,msec,"1",,,"+","1993",,,20,
"53",146.966505,,"147",0.000322,"1",,msec,3/2,,,"-","2018",,,,
"54",146.954482,,"147",0.000215,"1",88,msec,3/2,,,"-","1994",,,14,
"55",146.944261512,,"147",9e-06,"1",230.5,msec,3/2,,,"+","1978",,,0.9,
"56",146.9353039,,"147",2.12e-05,"1",893,msec,5/2,,,"-","1978",,,1,
"57",146.9284178,,"147",1.15e-05,"1",4.026,sec,5/2,,,"+","1979",,,0.02,
"58",146.9226899,,"147",9.211e-06,"1",56.4,sec,5/2,,,"-","1964",,,1,
"59",146.919007438,,"147",1.702e-05,"1",13.39,minute,3/2,,,"+","1964",,,0.04,
"60",146.916105969,,"147",1.368e-06,"1",10.98,day,5/2,0.221600010991096,0.899999976158142,"-","1947",0.00400000018998981,,0.01,0.300000011920929
"61",146.915144944,,"147",1.382e-06,"1",2.6234,year,7/2,0.737142860889435,0.740000009536743,"+","1947",0.0199999995529652,,0.0002,0.199999988079071
"62",146.914904401,15,"147",1.354e-06,"1",106.6,Gyear,7/2,-0.231142863631248,-0.259999990463257,"-","1933",0.00039999998989515,0.14,0.5,0.0299999993294477
"63",146.91675244,,"147",2.758e-06,"1",24.1,day,5/2,1.48599994182587,0.550000011920929,"+","1951",0.00320000015199184,,0.6,0.0299999993294477
"64",146.919101014,,"147",2.025e-06,"1",38.06,hour,7/2,0.291428565979004,,"-","1957",0.0257142838090658,,0.12,
"65",146.92405462,,"147",8.691e-06,"1",1.64,hour,1/2,3.42000007629395,0,"+","1969",0.0999999940395355,,0.03,0
"66",146.931082712,,"147",9.5e-06,"1",67,sec,1/2,-1.83000004291534,0,"+","1975",0.0180000010877848,,7,0
"67",146.940142293,,"147",5.368e-06,"1",5.8,sec,11/2,,,"-","1982",,,0.4,
"68",146.949964456,,"147",4.1e-05,"1",3.2,sec,1/2,,0,"+","1992",,,1.2,0
"69",146.961379887,,"147",7.341e-06,"1",580,msec,11/2,,,"-","1982",,,30,
"54",147.958508,,"148",0.000322,"1",85,msec,"0",0,0,"+","2010",0,,15,0
"55",147.949639026,,"148",1.4e-05,"1",151.8,msec,"2",,,"-","1978",,,1,
"56",147.938223,,"148",1.6e-06,"1",620,msec,"0",0,0,"+","1979",0,,5,0
"57",147.9326794,,"148",2.09e-05,"1",1.414,sec,"2",,,"-","1969",,,0.025,
"58",147.924424186,,"148",1.2017e-05,"1",56.8,sec,"0",0,0,"+","1964",0,,0.3,0
"59",147.922129992,,"148",1.6147e-05,"1",2.29,minute,"1",,,"-","1964",,,0.02,
"60",147.916899027,5.756,"148",2.203e-06,"0",,,"0",0,0,"+","1937",0,0.021,,0
"61",147.917481091,,"148",6.108e-06,"1",5.368,day,"1",2.09999990463257,0.200000002980232,"-","1947",0.200000002980232,,0.007,0.200000002980232
"62",147.914829233,11.25,"148",1.337e-06,"1",6.3,Pyear,"0",0,0,"+","1933",0,0.09,1.3,0
"63",147.918091288,,"148",1.0693e-05,"1",54.5,day,"5",0.466800034046173,0.349999994039536,"-","1951",0.0020000000949949,,0.5,0.0599999986588955
"64",147.918121414,,"148",1.566e-06,"1",71.3,year,"0",0,0,"+","1953",0,,1,0
"65",147.924275476,,"148",1.3379e-05,"1",60,minute,"2",-0.879999995231628,-0.300000011920929,"-","1960",0.00999999977648258,,1,0.200000002980232
"66",147.927149944,,"148",9.365e-06,"1",3.3,minute,"0",0,0,"+","1974",0,,0.2,0
"67",147.937743925,,"148",9e-05,"1",2.2,sec,"1",,,"+","1979",,,1.1,
"68",147.944735026,,"148",1.1e-05,"1",4.6,sec,"0",0,0,"+","1982",0,,0.2,0
"69",147.958384026,,"148",1.1e-05,"1",700,msec,"10",,,"+","1982",,,200,
"70",147.967547,,"148",0.000429,"1",,msec,"0",0,0,"+",,0,,,0
"54",148.964573,,"149",0.000322,"1",,msec,3/2,,,"-","2018",,,,
"55",148.953516,,"149",0.000429,"1",112.3,msec,3/2,,,"+","1979",,,2.5,
"56",148.943284,,"149",2.7e-06,"1",349,msec,3/2,,,"-","1993",,,4,
"57",148.935351259,,"149",0.00021499,"1",1.071,sec,3/2,,,"-","1979",,,0.022,
"58",148.9284269,,"149",1.1e-05,"1",4.94,sec,3/2,,,"-","1974",,,0.04,
"59",148.9237361,,"149",1.06e-05,"1",2.26,minute,5/2,,,"+","1964",,,0.07,
"60",148.920154583,,"149",2.205e-06,"1",1.728,hour,5/2,0.140400007367134,1.29999995231628,"-","1938",0.00400000018998981,,0.001,0.300000011920929
"61",148.918341507,,"149",2.344e-06,"1",53.08,hour,7/2,0.942857146263123,,"+","1947",0.142857149243355,,0.05,
"62",148.917191211,13.82,"149",1.241e-06,"0",,,7/2,-0.19077143073082,0.0750000029802322,"-","1933",0.000314285716740415,0.1,,0.00800000037997961
"63",148.917936875,,"149",4.19e-06,"1",93.1,day,5/2,1.42239999771118,0.75,"+","1959",0.00240000011399388,,0.4,0.0199999995529652
"64",148.919347666,,"149",3.553e-06,"1",9.28,day,7/2,0.251428574323654,,"-","1951",0.011428571306169,,0.1,
"65",148.923253792,,"149",3.895e-06,"1",4.118,hour,1/2,2.72000002861023,0,"+","1950",0.0399999991059303,,0.025,0
"66",148.927327516,,"149",9.858e-06,"1",4.2,minute,7/2,-0.034000001847744,-0.620000004768372,"-","1958",0.0020000000949949,,0.14,0.0499999970197678
"67",148.933820457,,"149",1.2866e-05,"1",21.1,sec,11/2,,,"-","1979",,,0.2,
"68",148.942306,,"149",3e-05,"1",4,sec,1/2,,0,"+","1984",,,2,0
"69",148.952828,,"149",0.000215,"1",900,msec,11/2,,,"-","1987",,,200,
"70",148.964219,,"149",0.000322,"1",700,msec,1/2,,0,"+","2001",,,200,0
"54",149.968878,,"150",0.000322,"1",,msec,"0",0,0,"+","2018",0,,,0
"55",149.959023,,"150",0.000429,"1",81,msec,"2",,,"-","1979",,,2.6,
"56",149.9464411,,"150",6.1e-06,"1",258,msec,"0",0,0,"+","1994",0,,5,0
"57",149.9395475,,"150",2.7e-06,"1",504,msec,"3",,,"+","1993",,,15,
"58",149.930384032,,"150",1.2556e-05,"1",6.05,sec,"0",0,0,"+","1970",0,,0.07,0
"59",149.926676391,,"150",9.677e-06,"1",6.19,sec,"1",,,"-","1970",,,0.16,
"60",149.920901322,5.638,"150",1.211e-06,"1",9.3,Eyear,"0",0,0,"+","1937",0,0.028,0.7,0
"61",149.920990014,,"150",2.1504e-05,"1",2.698,hour,"1",,,"-","1952",,,0.015,
"62",149.917281993,7.37,"150",1.193e-06,"0",,,"0",0,0,"+","1934",0,0.09,,0
"63",149.919707092,,"150",6.688e-06,"1",36.9,year,"5",0.540399968624115,1.12999999523163,,"1950",0.00220000022090971,,0.9,0.0499999970197678
"64",149.918663949,,"150",6.5e-06,"1",1.79,Myear,"0",0,0,"+","1953",0,,0.08,0
"65",149.923664799,,"150",7.912e-06,"1",3.48,hour,"2",-0.449999988079071,,,"1959",0.00999999977648258,,0.16,
"66",149.925593068,,"150",4.636e-06,"1",7.17,minute,"0",0,0,"+","1959",0,,0.05,0
"67",149.933498353,,"150",1.5209e-05,"1",76.8,sec,"2",,,,"1963",,,1.8,
"68",149.937915524,,"150",1.8458e-05,"1",18.5,sec,"0",0,0,"+","1982",0,,0.7,0
"69",149.95009,,"150",0.00021,"1",,sec,"1",,,"+","1982",,,,
"70",149.958314,,"150",0.000322,"1",,msec,"0",0,0,"+","2000",0,,,0
"71",149.973407,,"150",0.000322,"1",45,msec,"5",,,"-","1993",,,3,
"55",150.963199,,"151",0.000537,"1",59,msec,3/2,,,"+","1979",,,19,
"56",150.951755,,"151",0.000429,"1",167,msec,3/2,,,"-","1994",,,5,
"57",150.942769,,"151",0.0004675,"1",465,msec,1/2,,0,"+","1994",,,24,0
"58",150.9342722,,"151",1.9e-05,"1",1.76,sec,3/2,,,"-","1997",,,0.06,
"59",150.928309066,,"151",1.2506e-05,"1",18.9,sec,3/2,,,"-","1990",,,0.07,
"60",150.923839363,,"151",1.215e-06,"1",12.44,minute,3/2,,,"+","1938",,,0.07,
"61",150.921216613,,"151",4.949e-06,"1",28.4,hour,5/2,0.719999969005585,2.20000004768372,,"1952",0.0799999982118607,,0.04,0.900000035762787
"62",150.919938859,,"151",1.191e-06,"1",94.6,year,5/2,-0.144199997186661,0.709999978542328,"-","1947",0.00023999999393709,,0.6,0.0700000002980232
"63",150.919856606,47.81,"151",1.251e-06,"1",4.6,Eyear,5/2,1.38540005683899,0.902999997138977,"+","1933",0.000999999931082129,0.06,1.2,0.0100000007078052
"64",150.920354922,,"151",3.212e-06,"1",123.9,day,7/2,0.219999998807907,,"-","1950",0.0171428564935923,,1,
"65",150.92310897,,"151",4.395e-06,"1",17.609,hour,1/2,1.85199999809265,0,,"1953",0.0120000001043081,,0.001,0
"66",150.926191279,,"151",3.486e-06,"1",17.9,minute,7/2,-0.270000010728836,-0.300000011920929,"-","1959",0.0020000000949949,,0.3,0.0499999970197678
"67",150.931698176,,"151",8.908e-06,"1",35.2,sec,11/2,,,"-","1963",,,0.1,
"68",150.937448567,,"151",1.7681e-05,"1",23.5,sec,7/2,,,"-","1970",,,2,
"69",150.945494433,,"151",2.0799e-05,"1",4.17,sec,11/2,,,"-","1982",,,0.11,
"70",150.955402453,,"151",0.000322591,"1",1.6,sec,1/2,,0,"+","1985",,,0.5,0
"71",150.967471,,"151",0.000322,"1",78.4,msec,11/2,,,"-","1982",,,0.9,
"55",151.968728,,"152",0.000537,"1",,msec,,,,,"1987",,,,
"56",151.95533,,"152",0.000429,"1",139,msec,"0",0,0,"+","2010",0,,8,0
"57",151.947085,,"152",0.000322,"1",287,msec,"2",,,"-","1994",,,16,
"58",151.936682,,"152",0.000215,"1",1.42,sec,"0",0,0,"+","1990",0,,0.02,0
"59",151.9315529,,"152",1.99e-05,"1",3.57,sec,"4",,,"+","1983",,,0.11,
"60",151.924691242,,"152",2.6276e-05,"1",11.4,minute,"0",0,0,"+","1969",0,,0.2,0
"61",151.923505185,,"152",2.7809e-05,"1",4.12,minute,"1",,,"+","1958",,,0.08,
"62",151.919738646,26.74,"152",1.09e-06,"0",,,"0",0,0,"+","1933",0,0.09,,0
"63",151.92175098,,"152",1.252e-06,"1",13.517,year,"3",-0.645133316516876,2.72000002861023,"-","1938",0.000566666654776782,,0.006,0.0299999993294477
"64",151.919798414,0.2,"152",1.081e-06,"1",108,Tyear,"0",0,0,"+","1938",0,0.03,8,0
"65",151.924081855,,"152",4.2955e-05,"1",17.5,hour,"2",-0.28999999165535,0.340000003576279,"-","1959",0.00999999977648258,,0.1,0.129999995231628
"66",151.924725274,,"152",4.93e-06,"1",2.38,hour,"0",0,0,"+","1958",0,,0.02,0
"67",151.931717618,,"152",1.3449e-05,"1",161.8,sec,"2",-0.509999990463257,0.100000001490116,"-","1963",0.00999999977648258,,0.3,0.200000002980232
"68",151.935050347,,"152",9.478e-06,"1",10.3,sec,"0",0,0,"+","1963",0,,0.1,0
"69",151.944476,,"152",5.8e-05,"1",8,sec,"2",,,,"1980",,,1,
"70",151.950326699,,"152",0.000160718,"1",3.03,sec,"0",0,0,"+","1982",0,,0.06,0
"71",151.96412,,"152",0.00021,"1",650,msec,"4",,,"-","1987",,,70,
"56",152.960848,,"153",0.000429,"1",113,msec,5/2,,,"-","2016",,,39,
"57",152.950553,,"153",0.000322,"1",245,msec,1/2,,0,"+","1994",,,18,0
"58",152.941052,,"153",0.000215,"1",865,msec,3/2,,,"-","1994",,,25,
"59",152.933903511,,"153",1.2755e-05,"1",4.28,sec,3/2,,,"-","1987",,,0.11,
"60",152.927717868,,"153",2.949e-06,"1",31.6,sec,3/2,,,,"1987",,,1,
"61",152.924156252,,"153",9.729e-06,"1",5.25,minute,5/2,,,"-","1962",,,0.02,
"62",152.922103576,,"153",1.1e-06,"1",46.2846,hour,3/2,-0.0139999995008111,1.29999995231628,"+","1938",0.0020000000949949,,0.0023,0.119999997317791
"63",152.921236789,52.19,"153",1.257e-06,"0",,,5/2,0.611760020256042,2.41000008583069,"+","1933",0.00044000000343658,0.06,,0.0199999995529652
"64",152.921756945,,"153",1.075e-06,"1",240.6,day,3/2,0.253333330154419,,"-","1947",0.053333330899477,,0.7,
"65",152.923441694,,"153",4.237e-06,"1",2.34,day,5/2,1.38800001144409,1.08000004291534,"+","1957",0.00799999944865704,,0.01,0.140000000596046
"66",152.925771729,,"153",4.295e-06,"1",6.4,hour,7/2,-0.203428581357002,-0.150000005960464,"-","1958",0.00171428569592535,,0.1,0.0899999961256981
"67",152.930206671,,"153",5.438e-06,"1",2.01,minute,11/2,1.23454546928406,-1.10000002384186,"-","1963",0.00909090880304575,,0.03,0.5
"68",152.93508635,,"153",9.967e-06,"1",37.1,sec,7/2,-0.266285717487335,-0.419999986886978,"-","1963",0.0020000000949949,,0.2,0.0199999995529652
"69",152.942058023,,"153",1.286e-05,"1",1.48,sec,11/2,1.25999999046326,0.5,"-","1964",0.0199999995529652,,0.01,1
"70",152.949372,,"153",0.000215,"1",4.2,sec,7/2,,,"-","1977",,,0.2,
"71",152.958802248,,"153",0.00016105,"1",900,msec,11/2,,,"-","1989",,,200,
"72",152.970692,,"153",0.000322,"1",,msec,1/2,,0,"+","2000",,,,0
"56",153.964659,,"154",0.000537,"1",53,msec,"0",0,0,"+","2017",0,,48,0
"57",153.955416,,"154",0.000322,"1",161,msec,"2",,,"-","2017",,,15,
"58",153.94394,,"154",0.000215,"1",722,msec,"0",0,0,"+","1994",0,,14,0
"59",153.937885165,,"154",0.00010736,"1",2.3,sec,"3",,,"+","1988",,,0.09,
"60",153.929597404,,"154",1.1e-06,"1",25.9,sec,"0",0,0,"+","1970",0,,0.2,0
"61",153.926712791,,"154",2.6861e-05,"1",2.68,minute,"4",,,"+","1958",,,0.07,
"62",153.922215756,22.74,"154",1.4e-06,"0",,,"0",0,0,"+","1933",0,0.14,,0
"63",153.922985699,,"154",1.275e-06,"1",8.592,year,"3",-0.666666686534882,2.84999990463257,"-","1947",0.0020000000949949,,0.003,0.0999999940395355
"64",153.920872974,2.18,"154",1.066e-06,"0",,,"0",0,0,"+","1938",0,0.02,,0
"65",153.924683681,,"154",4.8641e-05,"1",9.994,hour,"3",,,"-","1972",,,0.039,
"66",153.92442892,,"154",7.977e-06,"1",3,Myear,"0",0,0,"+","1961",0,,1.5,0
"67",153.930606776,,"154",8.82e-06,"1",11.76,minute,"2",-0.320499986410141,0.189999997615814,"-","1966",0.00300000002607703,,0.19,0.0999999940395355
"68",153.932790799,,"154",5.325e-06,"1",3.73,minute,"0",0,0,"+","1963",0,,0.09,0
"69",153.941570062,,"154",1.5471e-05,"1",8.1,sec,"2",-0.569999992847443,0.400000005960464,"-","1964",0.00999999977648258,,0.3,0.900000035762787
"70",153.946395696,,"154",1.8551e-05,"1",409,msec,"0",0,0,"+","1964",0,,2,0
"71",153.957416,,"154",0.000216,"1",,sec,"2",,,"-","1981",,,,
"72",153.964863,,"154",0.000322,"1",2,sec,"0",0,0,"+","1981",0,,1,0
"57",154.95928,,"155",0.000429,"1",101,msec,1/2,,0,"+","2016",,,28,0
"58",154.948706,,"155",0.000322,"1",313,msec,5/2,,,"-","1994",,,7,
"59",154.940509193,,"155",1.8462e-05,"1",1.47,sec,3/2,,,"-","1992",,,0.3,
"60",154.933135598,,"155",9.826e-06,"1",8.9,sec,3/2,,,"-","1986",,,0.2,
"61",154.928136951,,"155",5.065e-06,"1",41.5,sec,5/2,,,"-","1982",,,0.2,
"62",154.924646645,,"155",1.429e-06,"1",22.18,minute,3/2,,1.12999999523163,"-","1951",,,0.06,0.129999995231628
"63",154.922899847,,"155",1.343e-06,"1",4.742,year,5/2,0.606400012969971,2.5,"+","1947",0.000800000037997961,,0.008,0.300000011920929
"64",154.922629356,14.8,"155",1.055e-06,"0",,,3/2,-0.172733321785927,1.26999998092651,"-","1933",0.000266666669631377,0.09,,0.0299999993294477
"65",154.923509511,,"155",1.0552e-05,"1",5.32,day,3/2,1.35333335399628,1.4099999666214,"+","1957",0.0133333327248693,,0.06,0.0599999986588955
"66",154.925758049,,"155",1.0354e-05,"1",9.9,hour,3/2,-0.22466666996479,0.959999978542328,"-","1958",0.0020000000949949,,0.2,0.0199999995529652
"67",154.929103363,,"155",1.8754e-05,"1",48,minute,5/2,1.39999997615814,1.55999994277954,"+","1959",0.0120000001043081,,2,0.119999997317791
"68",154.93321571,,"155",6.52e-06,"1",5.3,minute,7/2,-0.190285712480545,-0.270000010728836,"-","1969",0.00142857152968645,,0.3,0.0199999995529652
"69",154.939209576,,"155",1.0651e-05,"1",21.6,sec,11/2,,,"-","1971",,,0.2,
"70",154.945783216,,"155",1.782e-05,"1",1.793,sec,7/2,-0.260000020265579,-0.5,"-","1964",0.00571428565308452,,0.02,0.300000011920929
"71",154.954326005,,"155",2.066e-05,"1",68,msec,11/2,,,"-","1965",,,2,
"72",154.963167,,"155",0.000322,"1",843,msec,7/2,,,"-","1981",,,30,
"73",154.974248,,"155",0.000322,"1",3.2,msec,11/2,,,"-","2007",,,1.3,
"57",155.964519,,"156",0.000429,"1",84,msec,"4",,,"+","2017",,,78,
"58",155.951884,,"156",0.000322,"1",233,msec,"0",0,0,"+","2017",0,,9,0
"59",155.9447669,,"156",1.1e-06,"1",444,msec,"1",,,"+","1992",,,6,
"60",155.935370358,,"156",1.4e-06,"1",5.06,sec,"0",0,0,"+","1987",0,,0.13,0
"61",155.931114059,,"156",1.275e-06,"1",27.4,sec,"4",,,"+","1986",,,0.5,
"62",155.925538191,,"156",9.148e-06,"1",9.4,hour,"0",0,0,"+","1951",0,,0.2,0
"63",155.924762976,,"156",3.791e-06,"1",15.19,day,"0",0,0,"+","1947",0,,0.08,0
"64",155.92213012,20.47,"156",1.054e-06,"0",,,"0",0,0,"+","1933",0,0.03,,0
"65",155.924754209,,"156",4.044e-06,"1",5.35,day,"3",0.566666662693024,2.29999995231628,"-","1950",0.0666666701436043,,0.1,0.800000011920929
"66",155.924283593,0.056,"156",1.06e-06,"0",,,"0",0,0,"+","1948",0,0.003,,0
"67",155.929641634,,"156",4.1249e-05,"1",56,minute,"4",0.745000004768372,2.40000009536743,,"1957",0.00749999983236194,,1,0.179999992251396
"68",155.931065926,,"156",2.644e-05,"1",19.5,minute,"0",0,0,"+","1967",0,,1,0
"69",155.938985746,,"156",1.5328e-05,"1",83.8,sec,"2",0.200000002980232,-0.479999989271164,"-","1971",0.0149999996647239,,1.8,0.109999999403954
"70",155.942817096,,"156",9.992e-06,"1",26.1,sec,"0",0,0,"+","1970",0,,0.7,0
"71",155.953086606,,"156",5.8102e-05,"1",494,msec,"2",,,,"1965",,,12,
"72",155.959399083,,"156",0.000160752,"1",23,msec,"0",0,0,"+","1979",0,,1,0
"73",155.972087,,"156",0.000322,"1",106,msec,"2",,,"-","1992",,,4,
"57",156.968792,,"157",0.000322,"1",,msec,1/2,,0,"+","2018",,,,0
"58",156.957133,,"157",0.000429,"1",175,msec,7/2,,,"+","2017",,,41,
"59",156.9480031,,"157",3.4e-06,"1",307,msec,3/2,,,"-","2017",,,21,
"60",156.939351074,,"157",2.294e-06,"1",1.15,sec,5/2,,,"-","1992",,,0.03,
"61",156.933121298,,"157",7.521e-06,"1",10.56,sec,5/2,,,"-","1987",,,0.1,
"62",156.928418598,,"157",4.759e-06,"1",8.03,minute,3/2,,,"-","1973",,,0.07,
"63",156.925432556,,"157",4.545e-06,"1",15.18,hour,5/2,0.600000023841858,2.59999990463257,"+","1951",0.00799999944865704,,0.03,0.300000011920929
"64",156.923967424,15.65,"157",1.048e-06,"0",,,3/2,-0.226533338427544,1.35000002384186,"-","1933",0.00039999998989515,0.04,,0.0299999993294477
"65",156.924031888,,"157",1.092e-06,"1",71,year,3/2,1.35333335399628,1.39999997615814,"+","1960",0.0133333327248693,,7,0.0799999982118607
"66",156.925469555,,"157",5.532e-06,"1",8.14,hour,3/2,-0.200666666030884,1.28999996185303,"-","1953",0.00133333343546838,,0.04,0.0199999995529652
"67",156.928251974,,"157",2.5194e-05,"1",12.6,minute,7/2,1.24000000953674,3.04999995231628,"-","1966",0.00857142824679613,,0.2,0.129999995231628
"68",156.931922652,,"157",2.8454e-05,"1",18.65,minute,3/2,-0.274000018835068,0.920000016689301,"-","1966",0.0020000000949949,,0.1,0.00999999977648258
"69",156.936973,,"157",3e-05,"1",3.63,minute,1/2,0.952000021934509,0,"+","1974",0.0300000011920929,,0.09,0
"70",156.942651368,,"157",1.1706e-05,"1",38.6,sec,7/2,-0.182000011205673,,"-","1970",0.00228571449406445,,1,
"71",156.950144807,,"157",1.2961e-05,"1",7.7,sec,1/2,,0,"+","1977",,,2,0
"72",156.958288,,"157",0.000215,"1",115,msec,7/2,,,"-","1965",,,1,
"73",156.968227445,,"157",0.000161087,"1",10.1,msec,1/2,,0,"+","1979",,,0.4,0
"74",156.978862,,"157",0.000429,"1",275,msec,7/2,,,"-","2010",,,40,
"58",157.960773,,"158",0.000429,"1",99,msec,"0",0,0,"+","2016",0,,93,0
"59",157.952603,,"158",0.000322,"1",181,msec,"5",,,"-","2016",,,14,
"60",157.94220562,,"158",1.4e-06,"1",810,msec,"0",0,0,"+","1992",0,,30,0
"61",157.936546948,,"158",9.53e-07,"1",4.8,sec,"0",0,0,"+","1987",0,,0.5,0
"62",157.929949262,,"158",5.133e-06,"1",5.3,minute,"0",0,0,"+","1970",0,,0.03,0
"63",157.927782192,,"158",2.181e-06,"1",45.9,minute,"1",1.44000005722046,0.660000026226044,,"1951",0.0199999995529652,,0.2,0.140000000596046
"64",157.9241112,24.84,"158",1.048e-06,"0",,,"0",0,0,"+","1933",0,0.08,,0
"65",157.925419942,,"158",1.36e-06,"1",180,year,"3",0.58433336019516,2.70000004768372,"-","1957",0.00233333348296583,,11,0.5
"66",157.924414817,0.095,"158",2.509e-06,"0",,,"0",0,0,"+","1938",0,0.003,,0
"67",157.92894491,,"158",2.9099e-05,"1",11.3,minute,"5",0.755200028419495,4.19999980926514,"+","1961",0.000600000028498471,,0.4,0.400000005960464
"68",157.929893474,,"158",2.7074e-05,"1",2.29,hour,"0",0,0,"+","1961",0,,0.06,0
"69",157.936979525,,"158",2.7074e-05,"1",3.98,minute,"2",0.0199999995529652,0.740000009536743,"-","1970",0.00999999977648258,,0.06,0.109999999403954
"70",157.939871202,,"158",8.559e-06,"1",1.49,minute,"0",0,0,"+","1967",0,,0.13,0
"71",157.94931562,,"158",1.6236e-05,"1",10.6,sec,"2",,,,"1979",,,0.3,
"72",157.954801217,,"158",1.878e-05,"1",2.85,sec,"0",0,0,"+","1965",0,,0.07,0
"73",157.966593,,"158",0.000215,"1",49,msec,"2",,,,"1979",,,4,
"74",157.974565,,"158",0.000322,"1",1.43,msec,"0",0,0,"+","1981",0,,0.18,0
"58",158.966355,,"159",0.000537,"0",,,1/2,,0,"-",,,,,0
"59",158.956232,,"159",0.000429,"1",134,msec,3/2,,,"-","2017",,,43,
"60",158.946619085,,"159",3.2e-05,"1",500,msec,7/2,,,"+","2012",,,30,
"61",158.939286409,,"159",1.0777e-05,"1",1.49,sec,5/2,,,"-","1998",,,0.13,
"62",158.93321713,,"159",6.37e-06,"1",11.37,sec,5/2,,,"-","1986",,,0.15,
"63",158.929099512,,"159",4.637e-06,"1",18.1,minute,5/2,0.551999986171722,2.70000004768372,"+","1961",0.00799999944865704,,0.1,0.300000011920929
"64",158.926395822,,"159",1.051e-06,"1",18.479,hour,3/2,-0.293333321809769,,"-","1949",0.0199999995529652,,0.004,
"65",158.925353707,100,"159",1.184e-06,"0",,,3/2,1.33933341503143,1.432000041008,"+","1933",0.00266666687093675,0,,0.00800000037997961
"66",158.925745938,,"159",1.544e-06,"1",144.4,day,3/2,-0.236000001430511,1.37000000476837,"-","1951",0.0020000000949949,,0.2,0.0199999995529652
