atomic_number,mass,abundance,mass_number,mass_uncertainty,is_radioactive,half_life,half_life_unit,spin,g_factor,quadrupole_moment,parity,discovery_year,g_factor_uncertainty,abundance_uncertainty,half_life_uncertainty,quadrupole_moment_uncertainty
"13",27.981910009,,"28",5.2e-08,"1",2.245,minute,"3",1.08033335208893,0.172000005841255,"+","1934",0.0016666668234393,,0.005,0.0120000001043081
"14",27.97692653442,92.2545,"28",5.5e-10,"0",,,"0",0,0,"+","1920",0,0.0037,,0
"15",27.99232646,,"28",1.231e-06,"1",270.3,msec,"3",0.104000002145767,0.136999994516373,"+","1953",0.00100000004749745,,0.5,0.0140000004321337
"16",28.004372762,,"28",0.000171767,"1",125,msec,"0",0,0,"+","1982",0,,10,0
"17",28.030349,,"28",0.000537,"0",,,"1",,,"+","2018",,,,
"9",29.043103,,"29",0.000564,"1",2.5,msec,5/2,,,"+","1989",,,0.3,
"10",29.019753,,"29",0.0001605,"1",14.7,msec,3/2,,,"-","1985",,,0.4,
"11",29.002877091,,"29",7.876e-06,"1",43.2,msec,3/2,1.63266658782959,0.0850000008940697,"+","1969",0.0053333337418735,,0.4,0.00300000002607703
"12",28.988607163,,"29",3.69e-07,"1",1.3,sec,3/2,0.651933372020721,-0.159999996423721,"+","1971",0.00039999998989515,,0.12,0.0399999991059303
"13",28.980453164,,"29",3.7e-07,"1",6.56,minute,5/2,,,"+","1939",,,0.06,
"14",28.97649466434,4.672,"29",6e-10,"0",,,1/2,-1.1101039648056,0,"+","1920",6.00000021222513e-06,0.016,,0
"15",28.981800368,,"29",3.85e-07,"1",4.102,sec,1/2,2.46880006790161,0,"+","1941",0.00059999997029081,,0.004,0
"16",28.996678,,"29",1.4e-05,"1",188,msec,5/2,,,"+","1964",,,4,
"17",29.015053,,"29",0.000203,"1",5.4,zsec,1/2,,0,"+","1993",,,1.9,0
"18",29.040761,,"29",0.000471,"0",,,5/2,,,"+","2018",,,,
"9",30.052561,,"30",0.000537,"0",,,,,,,,,,,
"10",30.024992235,,"30",0.000271875,"1",7.22,msec,"0",0,0,"+","1985",0,,0.18,0
"11",30.009097931,,"30",5.074e-06,"1",45.9,msec,"2",1.04149997234344,,"+","1969",0.00500000035390258,,0.7,
"12",29.990465454,,"30",1.39e-06,"1",317,msec,"0",0,0,"+","1971",0,,4,0
"13",29.982969171,,"30",2.077e-06,"1",3.62,sec,"3",1.00400006771088,,"+","1961",0.00233333348296583,,0.06,
"14",29.973770137,3.0735,"30",2.3e-08,"0",,,"0",0,0,"+","1924",0,0.0021,,0
"15",29.97831349,,"30",6.9e-08,"1",2.5,minute,"1",,,"+","1934",,,0.0017,
"16",29.98490677,,"30",2.21e-07,"1",1.1798,sec,"0",0,0,"+","1961",0,,0.0003,0
"17",30.005018333,,"30",2.5631e-05,"0",,,"3",,,"+","2018",,,,
"18",30.023694,,"30",0.000192,"1",,psec,"0",0,0,"+","2015",0,,,0
