isotope_id,mode,relation,intensity,is_allowed_not_observed,is_observed_intensity_unknown
"476",B+p,=,22.7,,
"477",p, ,,"1",
"478",B-, ,,"1",
"478",B-n, ,,"1",
"478",2n, ,,"1",
"479",B-,=,100,,
"479",B-n, ,,"1",
"479",2n, ,,"1",
"480",B-,=,100,,
"480",B-n, ,,"1",
"480",2n, ,,"1",
"481",B-,=,100,,
"481",B-n,=,16,,
"482",B-,=,100,,
"483",B-,=,100,,
"485",EC,=,100,,
"485",B-,=,0.93,,
"485",e+,=,1.28,,
"486",2B+, ,,"1",
"487",B+,=,100,,
"488",B+,=,100,,
"488",B+p, ,,"1",
"489",p, ,,"1",
"490",2p,=,87,,
"491",B-, ,,"1",
"491",B-n, ,,"1",
"491",2n, ,,"1",
"492",B-,=,100,,
"492",B-n, ,,"1",
"492",2n, ,,"1",
"493",B-,=,100,,
"493",B-n,=,17,,
"493",2n, ,,"1",
"494",B-,=,100,,
"494",B-n, ,,"1",
"495",B-,=,100,,
"496",B-,=,100,,
"498",EC,=,100,,
"499",B+,=,100,,
"500",B+,=,100,,
"501",B+,=,100,,
"501",B+p,=,,,"1"
"502",B+,=,100,,
"502",B+p,=,91,,
"503",B-, ,,"1",
"503",B-n, ,,"1",
"503",2n, ,,"1",
"504",B-,=,100,,
"504",B-n, ,,"1",
"504",2n, ,,"1",
"505",B-,=,100,,
"505",B-n, ,,"1",
"505",2n, ,,"1",
"506",B-,=,100,,
"506",B-n, ,,"1",
"507",B-,=,100,,
"507",B-n, ,,"1",
"508",B-,=,100,,
"509",B-,=,100,,
"511",B+,=,100,,
"512",B+,=,100,,
"513",B+,=,100,,
"513",B+p,=,0.4,,
"514",B+,=,100,,
"514",B+p,=,88,,
"515",p, ,,"1",
"516",B-, ,,"1",
"516",B-n, ,,"1",
"516",2n, ,,"1",
"517",B-, ,,"1",
"517",B-n, ,,"1",
"517",2n, ,,"1",
"518",B-,=,100,,
"518",B-n, ,,"1",
"518",2n, ,,"1",
"519",B-,=,100,,
"519",B-n, ,,"1",
"520",B-,=,100,,
"520",B-n, ,,"1",
"521",B-,=,100,,
"522",B-,=,100,,
"524",EC,=,100,,
"525",B+,=,100,,
"526",B+,=,100,,
"527",B+,=,100,,
"527",B+p,=,87,,
"528",p, ,,"1",
"529",B-, ,,"1",
"529",B-n, ,,"1",
"529",2n, ,,"1",
"530",B-, ,,"1",
"530",B-n, ,,"1",
