atomic_number,species_name,ion_charge,isoelectonic_sequence,ground_shells,ground_configuration,ground_level,ionized_level,ionization_energy,uncertainty,references,is_semi_empirical,is_theoretical
"83",Bi LXVI,"65",Ar,[Ne].3s2.3p6,3p6,1S0,3p5 2P*<3/2>,7580,30,L8672c99,"0","1"
"83",Bi LXVII,"66",Cl,[Ne].3s2.3p5,3p5,2P*<3/2>,3p4 3P<2>,7720,40,L8672c99,"0","1"
"83",Bi LXVIII,"67",S,[Ne].3s2.3p4,3p4,3P<2>,3p3 2P*<3/2>,7870,40,L8672c99,"0","1"
"83",Bi LXIX,"68",P,[Ne].3s2.3p3,3p3,2P*<3/2>,3p2 3P<0>,8010,50,L8672c99,"0","1"
"83",Bi LXX,"69",Si,[Ne].3s2.3p2,3p2,3P0,3p 2P*<1/2>,8780,50,L8672c99,"0","1"
"83",Bi LXXI,"70",Al,[Ne].3s2.3p,3p,2P*<1/2>,3s2 1S<0>,8950,60,L8672c99,"0","1"
"83",Bi LXXII,"71",Mg,[Ne].3s2,3s2,1S0,3s 2S<1/2>,9270,60,L8672c99,"0","1"
"83",Bi LXXIII,"72",Na,[Ne].3s,3s,2S<1/2>,2p6 1S<0>,9430,70,L8672c99,"0","1"
"83",Bi LXXIV,"73",Ne,1s2.2s2.2p6,2p6,1S0,2p5 2P*<3/2>,20130,90,L8672c99,"0","1"
"83",Bi LXXV,"74",F,1s2.2s2.2p5,2p5,2P*<3/2>,2p4 3P<2>,20500,90,L8672c99,"0","1"
"83",Bi LXXVI,"75",O,1s2.2s2.2p4,2p4,3P<2>,"2p2<1/2>.2p<3/2> (0,3/2)*<3/2>",20920,100,L8672c99,"0","1"
"83",Bi LXXVII,"76",N,1s2.2s2.2p3,2p2<1/2>.2p<3/2>,"(0,3/2)*<3/2>",2p2 3P<0>,21300,110,L8672c99,"0","1"
"83",Bi LXXVIII,"77",C,1s2.2s2.2p2,2p2,3P0,2p 2P*<1/2>,24150,120,L8672c99,"0","1"
"83",Bi LXXIX,"78",B,1s2.2s2.2p,2p,2P*<1/2>,2s2 1S<0>,24640,120,L8672c99,"0","1"
"83",Bi LXXX,"79",Be,1s2.2s2,2s2,1S0,2s 2S<1/2>,25260,140,L8672c99,"0","1"
"83",Bi LXXXI,"80",Li,1s2.2s,2s,2S<1/2>,1s2 1S<0>,25656.9,0.4,L16264c99,"0","1"
"83",Bi LXXXII,"81",He,1s2,1s2,1S0,1s 2S<1/2>,102251.8,0.4,L21139,"0","1"
"83",Bi LXXXIII,"82",H,1s,1s,2S<1/2>,,104133.4,0.3,L19200,"0","1"
"84",Po I,"0",Po,[Hg].6p4,6p4,3P<2>,6p3 4S*<3/2>,8.41807,4e-06,"L20887,L20886","0","0"
"84",Po II,"1",Bi,[Hg].6p3,6p3,4S*<3/2>,6p2 3P<0>,19.3,1.7,L16139,"1","0"
"84",Po III,"2",Pb,[Hg].6p2,6p2,3P0,6p 2P*<1/2>,27.3,0.7,L16139,"1","0"
"84",Po IV,"3",Tl,[Hg].6p,6p,2P*<1/2>,6s2 1S<0>,36,1.7,L8672c99,"0","1"
"84",Po V,"4",Hg,[Xe].4f14.5d10.6s2,6s2,1S0,6s 2S<1/2>,57,1.9,L8672c99,"0","1"
"84",Po VI,"5",Au,[Xe].4f14.5d10.6s,6s,2S<1/2>,5d10 1S<0>,69.1,2,L8672c99,"0","1"
"84",Po VII,"6",Pt,[Xe].4f14.5d10,"5d10",1S0,5d9 2D<5/2>,108,2,L8672c99,"0","1"
"84",Po VIII,"7",Ir,[Xe].4f14.5d9,"5d9",2D<5/2>,5d8 3F<4>,125,2.1,L8672c99,"0","1"
"84",Po IX,"8",Os,[Xe].4f14.5d8,"5d8",3F<4>,5d7 4F<9/2>,146.1,2.2,L8672c99,"0","1"
"84",Po X,"9",Re,[Xe].4f14.5d7,"5d7",4F<9/2>,5d6 5D<4>,166,2.2,L8672c99,"0","1"
"84",Po XI,"10",W,[Xe].4f14.5d6,"5d6",5D<4>,5d5 6S<5/2>,186,2.4,L8672c99,"0","1"
"84",Po XII,"11",Ta,[Xe].4f14.5d5,"5d5",6S<5/2>,5d4 5D<0>,209,2.5,L8672c99,"0","1"
"84",Po XIII,"12",Hf,[Xe].4f14.5d4,"5d4","5D0",5d3 4F<3/2>,235,3,L8672c99,"0","1"
"84",Po XIV,"13",Lu,[Xe].4f14.5d3,"5d3",4F<3/2>,5d2 3F<2>,257,3,L8672c99,"0","1"
"84",Po XV,"14",Yb,[Xe].4f14.5d2,"5d2",3F<2>,5d 2D<3/2>,281,3,L8672c99,"0","1"
"84",Po XVI,"15",Tm,[Xe].4f14.5d,5d,2D<3/2>,4f14 1S<0>,304,3,L8672c99,"0","1"
"84",Po XVII,"16",Er,[Xe].4f14,4f14,1S0,4f14.5p5 2P*<3/2>,416,21,L582,"0","1"
"84",Po XVIII,"17",Ho,[Cd].4f14.5p5,4f14.5p5,2P*<3/2>,4f14.5p4 3P<2>,444,22,L582,"0","1"
"84",Po XIX,"18",Dy,[Cd].4f14.5p4,4f14.5p4,3P<2>,4f14.5p3 2P*<3/2>,473,24,L582,"0","1"
"84",Po XX,"19",Tb,[Cd].4f14.5p3,4f14.5p3,2P*<3/2>,4f14.5p2 3P<0>,502,25,L582,"0","1"
"84",Po XXI,"20",Gd,[Cd].4f14.5p2,4f14.5p2,3P0,4f14.5p 2P*<1/2>,560,30,L582,"0","1"
"84",Po XXII,"21",Eu,[Cd].4f14.5p,4f14.5p,2P*<1/2>,4f14 1S<0>,590,30,L582,"0","1"
"84",Po XXIII,"22",Sm,[Cd].4f14,4f14,1S0,4f14.5s 2S<1/2>,670,30,L582,"0","1"
"84",Po XXIV,"23",Pm,[Kr].4d10.4f14.5s,4f14.5s,2S<1/2>,4f14 1S<0>,700,30,L582,"0","1"
"84",Po XXV,"24",Nd,[Kr].4d10.4f14,4f14,1S0,4f13 2F*<7/2>,740,40,L582,"0","1"
"84",Po XXVI,"25",Pr,[Kr].4d10.4f13,4f13,2F*<7/2>,4f12,800,40,L582,"0","1"
"84",Po XXVII,"26",Ce,[Kr].4d10.4f12,4f12,,4f11 4I*<15/2>,870,40,L582,"0","1"
"84",Po XXVIII,"27",La,[Kr].4d10.4f11,4f11,4I*<15/2>,4f10 5I<8>,930,50,L582,"0","1"
"84",Po XXIX,"28",Ba,[Kr].4d10.4f10,4f10,5I<8>,4f9 6H*<15/2>,990,50,L582,"0","1"
"84",Po XXX,"29",Cs,[Kr].4d10.4f9,4f9,6H*<15/2>,4f8 7F<6>,1060,50,L582,"0","1"
"84",Po XXXI,"30",Xe,[Kr].4d10.4f8,4f8,7F<6>,4f7 8S*<7/2>,1120,60,L582,"0","1"
"84",Po XXXII,"31",I,[Kr].4d10.4f7,4f7,8S*<7/2>,4f6 7F<0>,1180,60,L582,"0","1"
"84",Po XXXIII,"32",Te,[Kr].4d10.4f6,4f6,7F0,4f5 6H*<5/2>,1250,60,L582,"0","1"
"84",Po XXXIV,"33",Sb,[Kr].4d10.4f5,4f5,6H*<5/2>,4f4 5I<4>,1320,70,L582,"0","1"
"84",Po XXXV,"34",Sn,[Kr].4d10.4f4,4f4,5I<4>,4f3 4I*<9/2>,1380,70,L582,"0","1"
"84",Po XXXVI,"35",In,[Kr].4d10.4f3,4f3,4I*<9/2>,4f2 3H<4>,1440,70,L582,"0","1"
"84",Po XXXVII,"36",Cd,[Kr].4d10.4f2,4f2,3H<4>,4f 2F*<5/2>,1510,70,L582,"0","1"
"84",Po XXXVIII,"37",Ag,[Kr].4d10.4f,4f,2F*<5/2>,4d10 1S<0>,1570,70,L582,"0","1"
"84",Po XXXIX,"38",Pd,[Kr].4d10,"4d10",1S0,4d9 2D<5/2>,1865,4,L8672c99,"0","1"
"84",Po XL,"39",Rh,[Kr].4d9,"4d9",2D<5/2>,4d8 3F<4>,1923,4,L8672c99,"0","1"
"84",Po XLI,"40",Ru,[Kr].4d8,"4d8",3F<4>,4d7 4F<9/2>,1986,4,L8672c99,"0","1"
"84",Po XLII,"41",Tc,[Kr].4d7,"4d7",4F<9/2>,4d6 5D<4>,2052,4,L8672c99,"0","1"
"84",Po XLIII,"42",Mo,[Kr].4d6,"4d6",5D<4>,4d5 <5/2>,2115,4,L8672c99,"0","1"
"84",Po XLIV,"43",Nb,[Kr].4d5,"4d5",<5/2>,4d4 5D<0>,2177,4,L8672c99,"0","1"
"84",Po XLV,"44",Zr,[Kr].4d4,"4d4","5D0",4d3 4F<3/2>,2281,4,L8672c99,"0","1"
"84",Po XLVI,"45",Y,[Kr].4d3,"4d3",4F<3/2>,4d2 3F<2>,2345,4,L8672c99,"0","1"
"84",Po XLVII,"46",Sr,[Kr].4d2,"4d2",3F<2>,4d 2D<3/2>,2414,4,L8672c99,"0","1"
"84",Po XLVIII,"47",Rb,[Kr].4d,4d,2D<3/2>,4p6 1S<0>,2480,4,L8672c99,"0","1"
"84",Po XLIX,"48",Kr,[Ar].3d10.4s2.4p6,4p6,1S0,4p5 2P*<3/2>,2740,4,L8672c99,"0","1"
"84",Po L,"49",Br,[Ar].3d10.4s2.4p5,4p5,2P*<3/2>,4p4 3P<2>,2803,4,L8672c99,"0","1"
"84",Po LI,"50",Se,[Ar].3d10.4s2.4p4,4p4,3P<2>,4p3*<3/2>,2873,4,L8672c99,"0","1"
"84",Po LII,"51",As,[Ar].3d10.4s2.4p3,4p3,*<3/2>,4p2 3P<0>,2938,4,L8672c99,"0","1"
"84",Po LIII,"52",Ge,[Ar].3d10.4s2.4p2,4p2,3P0,4p 2P*<1/2>,3194,4,L8672c99,"0","1"
"84",Po LIV,"53",Ga,[Ar].3d10.4s2.4p,4p,2P*<1/2>,4s2 1S<0>,3268,5,L8672c99,"0","1"
"84",Po LV,"54",Zn,[Ar].3d10.4s2,4s2,1S0,4s 2S<1/2>,3450,5,L8672c99,"0","1"
"84",Po LVI,"55",Cu,[Ar].3d10.4s,4s,2S<1/2>,3d10 1S<0>,3524.2,2.5,L10278,"1","0"
"84",Po LVII,"56",Ni,[Ar].3d10,"3d10",1S0,3d9 2D<5/2>,5785,5,L8672c99,"0","1"
"84",Po LVIII,"57",Co,[Ar].3d9,"3d9",2D<5/2>,3d8 3F<4>,5930,6,L8672c99,"0","1"
"84",Po LIX,"58",Fe,[Ar].3d8,"3d8",3F<4>,3d7 4F<9/2>,6084,6,L8672c99,"0","1"
"84",Po LX,"59",Mn,[Ar].3d7,"3d7",4F<9/2>,3d6 <4>,6248,7,L8672c99,"0","1"
"84",Po LXI,"60",Cr,[Ar].3d6,"3d6",<4>,3d5 <5/2>,6405,10,L8672c99,"0","1"
"84",Po LXII,"61",V,[Ar].3d5,"3d5",<5/2>,3d4 5D<0>,6557,12,L8672c99,"0","1"
"84",Po LXIII,"62",Ti,[Ar].3d4,"3d4","5D0",3d3 4F<3/2>,6856,15,L8672c99,"0","1"
"84",Po LXIV,"63",Sc,[Ar].3d3,"3d3",4F<3/2>,3d2 3F<2>,7015,19,L8672c99,"0","1"
"84",Po LXV,"64",Ca,[Ar].3d2,"3d2",3F<2>,3d 2D<3/2>,7191,24,L8672c99,"0","1"
"84",Po LXVI,"65",K,[Ar].3d,3d,2D<3/2>,3p6 1S<0>,7350,30,L8672c99,"0","1"
"84",Po LXVII,"66",Ar,[Ne].3s2.3p6,3p6,1S0,3p5 2P*<3/2>,7810,40,L8672c99,"0","1"
"84",Po LXVIII,"67",Cl,[Ne].3s2.3p5,3p5,2P*<3/2>,3p4 3P<2>,7950,40,L8672c99,"0","1"
"84",Po LXIX,"68",S,[Ne].3s2.3p4,3p4,3P<2>,3p3 2P*<3/2>,8100,50,L8672c99,"0","1"
"84",Po LXX,"69",P,[Ne].3s2.3p3,3p3,2P*<3/2>,3p2 3P<0>,8240,50,L8672c99,"0","1"
"84",Po LXXI,"70",Si,[Ne].3s2.3p2,3p2,3P0,3p 2P*<1/2>,9050,60,L8672c99,"0","1"
"84",Po LXXII,"71",Al,[Ne].3s2.3p,3p,2P*<1/2>,3s2 1S<0>,9220,60,L8672c99,"0","1"
"84",Po LXXIII,"72",Mg,[Ne].3s2,3s2,1S0,3s 2S<1/2>,9550,70,L8672c99,"0","1"
"84",Po LXXIV,"73",Na,[Ne].3s,3s,2S<1/2>,2p6 1S<0>,9710,90,L8672c99,"0","1"
"84",Po LXXV,"74",Ne,1s2.2s2.2p6,2p6,1S0,2p5 2P*<3/2>,20670,90,L8672c99,"0","1"
"84",Po LXXVI,"75",F,1s2.2s2.2p5,2p5,2P*<3/2>,2p4 3P<2>,21050,100,L8672c99,"0","1"
