atomic_number,species_name,ion_charge,isoelectonic_sequence,ground_shells,ground_configuration,ground_level,ionized_level,ionization_energy,uncertainty,references,is_semi_empirical,is_theoretical
"47",Ag I,"0",Ag,[Kr].4d10.5s,4d10.5s,2S<1/2>,4d10 1S<0>,7.576234,2.5e-05,L11835,"0","0"
"47",Ag II,"1",Pd,[Kr].4d10,"4d10",1S0,4d9 2D<5/2>,21.4844,0.0009,L18362,"0","0"
"47",Ag III,"2",Rh,[Kr].4d9,"4d9",2D<5/2>,4d8 3F<4>,34.8,0.3,L17276,"1","0"
"47",Ag IV,"3",Ru,[Kr].4d8,"4d8",3F<4>,4d7 4F<9/2>,49,1.7,L8672c99,"0","1"
"47",Ag V,"4",Tc,[Kr].4d7,"4d7",4F<9/2>,4d6 5D<4>,65,1.9,L8672c99,"0","1"
"47",Ag VI,"5",Mo,[Kr].4d6,"4d6",5D<4>,4d5 6S<5/2>,82,2,L8672c99,"0","1"
"47",Ag VII,"6",Nb,[Kr].4d5,"4d5",6S<5/2>,4d4 5D<0>,106,2,L8672c99,"0","1"
"47",Ag VIII,"7",Zr,[Kr].4d4,"4d4","5D0",4d3 4F<3/2>,125,2.1,L8672c99,"0","1"
"47",Ag IX,"8",Y,[Kr].4d3,"4d3",4F<3/2>,4d2 3F<2>,145.1,2.2,L8672c99,"0","1"
"47",Ag X,"9",Sr,[Kr].4d2,"4d2",3F<2>,4d 2D<3/2>,167,2.2,L8672c99,"0","1"
"47",Ag XI,"10",Rb,[Kr].4d,4d,2D<3/2>,4p6 1S<0>,188,2.4,L8672c99,"0","1"
"47",Ag XII,"11",Kr,[Ar].3d10.4s2.4p6,4p6,1S0,4p5 2P*<3/2>,271.46,0.12,L1798,"1","0"
"47",Ag XIII,"12",Br,[Ar].3d10.4s2.4p5,4p5,2P*<3/2>,4p4 3P<2>,294,3,L8672c99,"0","1"
"47",Ag XIV,"13",Se,[Ar].3d10.4s2.4p4,4p4,3P<2>,4p3 4S*<3/2>,321,3,L8672c99,"0","1"
"47",Ag XV,"14",As,[Ar].3d10.4s2.4p3,4p3,4S*<3/2>,4p2 3P<0>,347,3,L8672c99,"0","1"
"47",Ag XVI,"15",Ge,[Ar].3d10.4s2.4p2,4p2,3P0,4p 2P*<1/2>,381,3,L8672c99,"0","1"
"47",Ag XVII,"16",Ga,[Ar].3d10.4s2.4p,4p,2P*<1/2>,4s2 1S<0>,408.43,0.16,L6833,"1","0"
"47",Ag XVIII,"17",Zn,[Ar].3d10.4s2,4s2,1S0,4s 2S<1/2>,469,3,L8672c99,"0","1"
"47",Ag XIX,"18",Cu,[Ar].3d10.4s,4s,2S<1/2>,3d10 1S<0>,500.87,0.16,L5953,"1","0"
"47",Ag XX,"19",Ni,[Ar].3d10,"3d10",1S0,3d9 2D<5/2>,885,4,L8672c99,"0","1"
"47",Ag XXI,"20",Co,[Ar].3d9,"3d9",2D<5/2>,3d8 3F<4>,946,4,L8672c99,"0","1"
"47",Ag XXII,"21",Fe,[Ar].3d8,"3d8",3F<4>,3d7 4F<9/2>,1013,4,L8672c99,"0","1"
"47",Ag XXIII,"22",Mn,[Ar].3d7,"3d7",4F<9/2>,3d6 5D<4>,1082,4,L8672c99,"0","1"
"47",Ag XXIV,"23",Cr,[Ar].3d6,"3d6",5D<4>,3d5 6S<5/2>,1149,4,L8672c99,"0","1"
"47",Ag XXV,"24",V,[Ar].3d5,"3d5",6S<5/2>,3d4 5D<0>,1231,4,L8672c99,"0","1"
"47",Ag XXVI,"25",Ti,[Ar].3d4,"3d4","5D0",3d3 4F<3/2>,1308,4,L8672c99,"0","1"
"47",Ag XXVII,"26",Sc,[Ar].3d3,"3d3",4F<3/2>,3d2 3F<2>,1382,4,L8672c99,"0","1"
"47",Ag XXVIII,"27",Ca,[Ar].3d2,"3d2",3F<2>,3d 2D<3/2>,1460,4,L8672c99,"0","1"
"47",Ag XXIX,"28",K,[Ar].3d,3d,2D<3/2>,3p6 1S<0>,1535,4,L8672c99,"0","1"
"47",Ag XXX,"29",Ar,[Ne].3s2.3p6,3p6,1S0,3p5 2P*<3/2>,1747,5,L11770,"1","0"
"47",Ag XXXI,"30",Cl,[Ne].3s2.3p5,3p5,2P*<3/2>,3p4 3P<2>,1810.5,1.9,L11770,"1","0"
"47",Ag XXXII,"31",S,[Ne].3s2.3p4,3p4,3P<2>,3p3 4S*<3/2>,1888,2.4,L11770,"1","0"
"47",Ag XXXIII,"32",P,[Ne].3s2.3p3,3p3,4S*<3/2>,3p2 3P<0>,1979,8,L11770,"1","0"
"47",Ag XXXIV,"33",Si,[Ne].3s2.3p2,3p2,3P0,3p 2P*<1/2>,2077,4,L11770,"1","0"
"47",Ag XXXV,"34",Al,[Ne].3s2.3p,3p,2P*<1/2>,3s2 1S<0>,2131,10,L11770,"1","0"
"47",Ag XXXVI,"35",Mg,[Ne].3s2,3s2,1S0,3s 2S<1/2>,2302,3,L11770,"1","0"
"47",Ag XXXVII,"36",Na,[Ne].3s,3s,2S<1/2>,2p6 1S<0>,2371.99,0.07,L11770,"1","0"
"47",Ag XXXVIII,"37",Ne,1s2.2s2.2p6,2p6,1S0,2p5 2P*<3/2>,5558,3,L11770,"1","0"
"47",Ag XXXIX,"38",F,1s2.2s2.2p5,2p5,2P*<3/2>,2p4 3P<2>,5753,9,L11770,"1","0"
"47",Ag XL,"39",O,1s2.2s2.2p4,2p4,3P<2>,"2p2<1/2>.2p<3/2> (0,3/2)*<3/2>",5966,12,L11770,"1","0"
"47",Ag XLI,"40",N,1s2.2s2.2p3,2p2<1/2>.2p<3/2>,"(0,3/2)*<3/2>",2p2 3P<0>,6170,40,L11770,"1","0"
"47",Ag XLII,"41",C,1s2.2s2.2p2,2p2,3P0,2p 2P*<1/2>,6551,7,L11770,"1","0"
"47",Ag XLIII,"42",B,1s2.2s2.2p,2p,2P*<1/2>,2s2 1S<0>,6785,5,L11770,"1","0"
"47",Ag XLIV,"43",Be,1s2.2s2,2s2,1S0,2s 2S<1/2>,7082,7,L11770,"1","0"
"47",Ag XLV,"44",Li,1s2.2s,2s,2S<1/2>,1s2 1S<0>,7271.298,0.024,L16264c99,"0","1"
"47",Ag XLVI,"45",He,1s2,1s2,1S0,1s 2S<1/2>,30097.314,0.015,L21139,"0","1"
"47",Ag XLVII,"46",H,1s,1s,2S<1/2>,,30965.78,0.007,L19200,"0","1"
"48",Cd I,"0",Cd,[Kr].4d10.5s2,4d10.5s2,1S0,5s 2S<1/2>,8.99382,1.6e-05,L18843,"0","0"
"48",Cd II,"1",Ag,[Kr].4d10.5s,4d10.5s,2S<1/2>,4d10 1S<0>,16.908313,1.2e-05,L3540,"0","0"
"48",Cd III,"2",Pd,[Kr].4d10,"4d10",1S0,4d9 2D<5/2>,37.468,0.006,L11384,"0","0"
"48",Cd IV,"3",Rh,[Kr].4d9,"4d9",2D<5/2>,4d8 3F<4>,51,1.7,L8672c99,"0","1"
"48",Cd V,"4",Ru,[Kr].4d8,"4d8",3F<4>,4d7 4F<9/2>,67.9,1.9,L8672c99,"0","1"
"48",Cd VI,"5",Tc,[Kr].4d7,"4d7",4F<9/2>,4d6 5D<4>,87,2,L8672c99,"0","1"
"48",Cd VII,"6",Mo,[Kr].4d6,"4d6",5D<4>,4d5 6S<5/2>,105,2,L8672c99,"0","1"
"48",Cd VIII,"7",Nb,[Kr].4d5,"4d5",6S<5/2>,4d4 5D<0>,130.1,2.1,L8672c99,"0","1"
"48",Cd IX,"8",Zr,[Kr].4d4,"4d4","5D0",4d3 4F<3/2>,150,2.2,L8672c99,"0","1"
"48",Cd X,"9",Y,[Kr].4d3,"4d3",4F<3/2>,4d2 3F<2>,173,2.2,L8672c99,"0","1"
"48",Cd XI,"10",Sr,[Kr].4d2,"4d2",3F<2>,4d 2D<3/2>,195,2.4,L8672c99,"0","1"
"48",Cd XII,"11",Rb,[Kr].4d,4d,2D<3/2>,4p6 1S<0>,218,2.5,L8672c99,"0","1"
"48",Cd XIII,"12",Kr,[Ar].3d10.4s2.4p6,4p6,1S0,4p5 2P*<3/2>,305,3,L8672c99,"0","1"
"48",Cd XIV,"13",Br,[Ar].3d10.4s2.4p5,4p5,2P*<3/2>,4p4 3P<2>,329,3,L8672c99,"0","1"
"48",Cd XV,"14",Se,[Ar].3d10.4s2.4p4,4p4,3P<2>,4p3 4S*<3/2>,358,3,L8672c99,"0","1"
"48",Cd XVI,"15",As,[Ar].3d10.4s2.4p3,4p3,4S*<3/2>,4p2 3P<0>,385,3,L8672c99,"0","1"
"48",Cd XVII,"16",Ge,[Ar].3d10.4s2.4p2,4p2,3P0,4p 2P*<1/2>,421,3,L8672c99,"0","1"
"48",Cd XVIII,"17",Ga,[Ar].3d10.4s2.4p,4p,2P*<1/2>,4s2 1S<0>,452.6,0.3,L6833,"1","0"
"48",Cd XIX,"18",Zn,[Ar].3d10.4s2,4s2,1S0,4s 2S<1/2>,513,3,L8672c99,"0","1"
"48",Cd XX,"19",Cu,[Ar].3d10.4s,4s,2S<1/2>,3d10 1S<0>,546.19,0.17,L5953,"1","0"
"48",Cd XXI,"20",Ni,[Ar].3d10,"3d10",1S0,3d9 2D<5/2>,963,4,L8672c99,"0","1"
"48",Cd XXII,"21",Co,[Ar].3d9,"3d9",2D<5/2>,3d8 3F<4>,1026,4,L8672c99,"0","1"
"48",Cd XXIII,"22",Fe,[Ar].3d8,"3d8",3F<4>,3d7 4F<9/2>,1095,4,L8672c99,"0","1"
"48",Cd XXIV,"23",Mn,[Ar].3d7,"3d7",4F<9/2>,3d6 5D<4>,1167,4,L8672c99,"0","1"
"48",Cd XXV,"24",Cr,[Ar].3d6,"3d6",5D<4>,3d5 6S<5/2>,1237,4,L8672c99,"0","1"
"48",Cd XXVI,"25",V,[Ar].3d5,"3d5",6S<5/2>,3d4 5D<0>,1320,4,L8672c99,"0","1"
"48",Cd XXVII,"26",Ti,[Ar].3d4,"3d4","5D0",3d3 4F<3/2>,1401,4,L8672c99,"0","1"
"48",Cd XXVIII,"27",Sc,[Ar].3d3,"3d3",4F<3/2>,3d2 3F<2>,1477,4,L8672c99,"0","1"
"48",Cd XXIX,"28",Ca,[Ar].3d2,"3d2",3F<2>,3d 2D<3/2>,1558,4,L8672c99,"0","1"
"48",Cd XXX,"29",K,[Ar].3d,3d,2D<3/2>,3p6 1S<0>,1635,4,L8672c99,"0","1"
"48",Cd XXXI,"30",Ar,[Ne].3s2.3p6,3p6,1S0,3p5 2P*<3/2>,1852,5,L11770,"1","0"
"48",Cd XXXII,"31",Cl,[Ne].3s2.3p5,3p5,2P*<3/2>,3p4 3P<2>,1917.9,2,L11770,"1","0"
"48",Cd XXXIII,"32",S,[Ne].3s2.3p4,3p4,3P<2>,3p3 4S*<3/2>,1998,3,L11770,"1","0"
"48",Cd XXXIV,"33",P,[Ne].3s2.3p3,3p3,4S*<3/2>,3p2 3P<0>,2091,8,L11770,"1","0"
"48",Cd XXXV,"34",Si,[Ne].3s2.3p2,3p2,3P0,3p 2P*<1/2>,2195,4,L11770,"1","0"
"48",Cd XXXVI,"35",Al,[Ne].3s2.3p,3p,2P*<1/2>,3s2 1S<0>,2250,10,L11770,"1","0"
"48",Cd XXXVII,"36",Mg,[Ne].3s2,3s2,1S0,3s 2S<1/2>,2427,3,L11770,"1","0"
"48",Cd XXXVIII,"37",Na,[Ne].3s,3s,2S<1/2>,2p6 1S<0>,2498.62,0.08,L11770,"1","0"
"48",Cd XXXIX,"38",Ne,1s2.2s2.2p6,2p6,1S0,2p5 2P*<3/2>,5839,3,L11770,"1","0"
"48",Cd XL,"39",F,1s2.2s2.2p5,2p5,2P*<3/2>,2p4 3P<2>,6039,9,L11770,"1","0"
"48",Cd XLI,"40",O,1s2.2s2.2p4,2p4,3P<2>,"2p2<1/2>.2p<3/2> (0,3/2)*<3/2>",6257,12,L11770,"1","0"
"48",Cd XLII,"41",N,1s2.2s2.2p3,2p2<1/2>.2p<3/2>,"(0,3/2)*<3/2>",2p2 3P<0>,6460,40,L11770,"1","0"
"48",Cd XLIII,"42",C,1s2.2s2.2p2,2p2,3P0,2p 2P*<1/2>,6869,8,L11770,"1","0"
"48",Cd XLIV,"43",B,1s2.2s2.2p,2p,2P*<1/2>,2s2 1S<0>,7109,5,L11770,"1","0"
"48",Cd XLV,"44",Be,1s2.2s2,2s2,1S0,2s 2S<1/2>,7414,7,L11770,"1","0"
"48",Cd XLVI,"45",Li,1s2.2s,2s,2S<1/2>,1s2 1S<0>,7607.95,0.03,L16264c99,"0","1"
"48",Cd XLVII,"46",He,1s2,1s2,1S0,1s 2S<1/2>,31451.07,0.017,L21139,"0","1"
"48",Cd XLVIII,"47",H,1s,1s,2S<1/2>,,32341.587,0.009,L19200,"0","1"
"49",In I,"0",In,[Cd].5p,5s2.5p,2P*<1/2>,5s2 1S<0>,5.7863558,5e-07,L21649,"0","0"
"49",In II,"1",Cd,[Kr].4d10.5s2,5s2,1S0,5s 2S<1/2>,18.87041,3e-05,L18318,"0","0"
"49",In III,"2",Ag,[Kr].4d10.5s,4d10.5s,2S<1/2>,4d10 1S<0>,28.04415,0.00012,L4327,"0","0"
"49",In IV,"3",Pd,[Kr].4d10,"4d10",1S0,4d9 2D<5/2>,55.45,0.04,L11384,"0","0"
"49",In V,"4",Rh,[Kr].4d9,"4d9",2D<5/2>,4d8 3F<4>,69.3,1.2,L4316c99,"1","0"
"49",In VI,"5",Ru,[Kr].4d8,"4d8",3F<4>,4d7 4F<9/2>,90,2,L8672c99,"0","1"
"49",In VII,"6",Tc,[Kr].4d7,"4d7",4F<9/2>,4d6 5D<4>,109,2,L8672c99,"0","1"
"49",In VIII,"7",Mo,[Kr].4d6,"4d6",5D<4>,4d5 6S<5/2>,130.1,2.1,L8672c99,"0","1"
"49",In IX,"8",Nb,[Kr].4d5,"4d5",6S<5/2>,4d4 5D<0>,156,2.2,L8672c99,"0","1"
"49",In X,"9",Zr,[Kr].4d4,"4d4","5D0",4d3 4F<3/2>,178,2.2,L8672c99,"0","1"
"49",In XI,"10",Y,[Kr].4d3,"4d3",4F<3/2>,4d2 3F<2>,201,2.4,L8672c99,"0","1"
"49",In XII,"11",Sr,[Kr].4d2,"4d2",3F<2>,4d 2D<3/2>,226,2.5,L8672c99,"0","1"
"49",In XIII,"12",Rb,[Kr].4d,4d,2D<3/2>,4p6 1S<0>,249,3,L8672c99,"0","1"
"49",In XIV,"13",Kr,[Ar].3d10.4s2.4p6,4p6,1S0,4p5 2P*<3/2>,341,3,L8672c99,"0","1"
"49",In XV,"14",Br,[Ar].3d10.4s2.4p5,4p5,2P*<3/2>,4p4 3P<2>,368,3,L8672c99,"0","1"
"49",In XVI,"15",Se,[Ar].3d10.4s2.4p4,4p4,3P<2>,4p3 4S*<3/2>,396,3,L8672c99,"0","1"
"49",In XVII,"16",As,[Ar].3d10.4s2.4p3,4p3,4S*<3/2>,4p2 3P<0>,425,3,L8672c99,"0","1"
"49",In XVIII,"17",Ge,[Ar].3d10.4s2.4p2,4p2,3P0,4p 2P*<1/2>,462,3,L8672c99,"0","1"
"49",In XIX,"18",Ga,[Ar].3d10.4s2.4p,4p,2P*<1/2>,4s2 1S<0>,497.1,0.3,L6833,"1","0"
"49",In XX,"19",Zn,[Ar].3d10.4s2,4s2,1S0,4s 2S<1/2>,560,4,L8672c99,"0","1"
"49",In XXI,"20",Cu,[Ar].3d10.4s,4s,2S<1/2>,3d10 1S<0>,593.38,0.2,L5953,"1","0"
"49",In XXII,"21",Ni,[Ar].3d10,"3d10",1S0,3d9 2D<5/2>,1043,4,L8672c99,"0","1"
"49",In XXIII,"22",Co,[Ar].3d9,"3d9",2D<5/2>,3d8 3F<4>,1109,4,L8672c99,"0","1"
"49",In XXIV,"23",Fe,[Ar].3d8,"3d8",3F<4>,3d7 4F<9/2>,1181,4,L8672c99,"0","1"
"49",In XXV,"24",Mn,[Ar].3d7,"3d7",4F<9/2>,3d6 5D<4>,1255,4,L8672c99,"0","1"
"49",In XXVI,"25",Cr,[Ar].3d6,"3d6",5D<4>,3d5 6S<5/2>,1328,4,L8672c99,"0","1"
"49",In XXVII,"26",V,[Ar].3d5,"3d5",6S<5/2>,3d4 5D<0>,1413,4,L8672c99,"0","1"
"49",In XXVIII,"27",Ti,[Ar].3d4,"3d4","5D0",3d3 4F<3/2>,1496,4,L8672c99,"0","1"
"49",In XXIX,"28",Sc,[Ar].3d3,"3d3",4F<3/2>,3d2 3F<2>,1575,4,L8672c99,"0","1"
"49",In XXX,"29",Ca,[Ar].3d2,"3d2",3F<2>,3d 2D<3/2>,1659,4,L8672c99,"0","1"
"49",In XXXI,"30",K,[Ar].3d,3d,2D<3/2>,3p6 1S<0>,1738,4,L8672c99,"0","1"
"49",In XXXII,"31",Ar,[Ne].3s2.3p6,3p6,1S0,3p5 2P*<3/2>,1961,5,L11770,"1","0"
"49",In XXXIII,"32",Cl,[Ne].3s2.3p5,3p5,2P*<3/2>,3p4 3P<2>,2028.5,2.1,L11770,"1","0"
"49",In XXXIV,"33",S,[Ne].3s2.3p4,3p4,3P<2>,3p3 4S*<3/2>,2111,3,L11770,"1","0"
"49",In XXXV,"34",P,[Ne].3s2.3p3,3p3,4S*<3/2>,3p2 3P<0>,2207,8,L11770,"1","0"
"49",In XXXVI,"35",Si,[Ne].3s2.3p2,3p2,3P0,3p 2P*<1/2>,2317,5,L11770,"1","0"
"49",In XXXVII,"36",Al,[Ne].3s2.3p,3p,2P*<1/2>,3s2 1S<0>,2373,11,L11770,"1","0"
"49",In XXXVIII,"37",Mg,[Ne].3s2,3s2,1S0,3s 2S<1/2>,2555,3,L11770,"1","0"
"49",In XXXIX,"38",Na,[Ne].3s,3s,2S<1/2>,2p6 1S<0>,2628.77,0.08,L11770,"1","0"
"49",In XL,"39",Ne,1s2.2s2.2p6,2p6,1S0,2p5 2P*<3/2>,6126,3,L11770,"1","0"
"49",In XLI,"40",F,1s2.2s2.2p5,2p5,2P*<3/2>,2p4 3P<2>,6331,10,L11770,"1","0"
"49",In XLII,"41",O,1s2.2s2.2p4,2p4,3P<2>,"2p2<1/2>.2p<3/2> (0,3/2)*<3/2>",6554,13,L11770,"1","0"
"49",In XLIII,"42",N,1s2.2s2.2p3,2p2<1/2>.2p<3/2>,"(0,3/2)*<3/2>",2p2 3P<0>,6770,50,L11770,"1","0"
"49",In XLIV,"43",C,1s2.2s2.2p2,2p2,3P0,2p 2P*<1/2>,7196,8,L11770,"1","0"
"49",In XLV,"44",B,1s2.2s2.2p,2p,2P*<1/2>,2s2 1S<0>,7442,6,L11770,"1","0"
"49",In XLVI,"45",Be,1s2.2s2,2s2,1S0,2s 2S<1/2>,7754,7,L11770,"1","0"
"49",In XLVII,"46",Li,1s2.2s,2s,2S<1/2>,1s2 1S<0>,7953.14,0.03,L16264c99,"0","1"
"49",In XLVIII,"47",He,1s2,1s2,1S0,1s 2S<1/2>,32837.593,0.019,L21139,"0","1"
"49",In XLIX,"48",H,1s,1s,2S<1/2>,,33750.404,0.01,L19200,"0","1"
"50",Sn I,"0",Sn,[Cd].5p2,5s2.5p2,3P0,5s2.5p 2P*<1/2>,7.343918,1.2e-05,L3936,"0","0"
"50",Sn II,"1",In,[Cd].5p,5s2.5p,2P*<1/2>,5s2 1S<0>,14.63307,9e-05,L18891,"0","0"
"50",Sn III,"2",Cd,[Kr].4d10.5s2,4d10.5s2,1S0,5s 2S<1/2>,30.506,0.003,L18161,"0","0"
"50",Sn IV,"3",Ag,[Kr].4d10.5s,4d10.5s,2S<1/2>,4d10 1S<0>,40.74,0.04,L3466c99,"0","0"
"50",Sn V,"4",Pd,[Kr].4d10,"4d10",1S0,4d9 2D<5/2>,77.03,0.04,L11384,"0","0"
"50",Sn VI,"5",Rh,[Kr].4d9,"4d9",2D<5/2>,4d8 3F<4>,94,2,L8672c99,"0","1"
"50",Sn VII,"6",Ru,[Kr].4d8,"4d8",3F<4>,4d7 4F<9/2>,112.9,2,L8672c99,"0","1"
"50",Sn VIII,"7",Tc,[Kr].4d7,"4d7",4F<9/2>,4d6 5D<4>,135,2.1,L8672c99,"0","1"
"50",Sn IX,"8",Mo,[Kr].4d6,"4d6",5D<4>,4d5 6S<5/2>,156,2.2,L8672c99,"0","1"
"50",Sn X,"9",Nb,[Kr].4d5,"4d5",6S<5/2>,4d4 5D<0>,184,2.2,L8672c99,"0","1"
"50",Sn XI,"10",Zr,[Kr].4d4,"4d4","5D0",4d3 4F<3/2>,208,2.4,L8672c99,"0","1"
"50",Sn XII,"11",Y,[Kr].4d3,"4d3",4F<3/2>,4d2 3F<2>,232,2.5,L8672c99,"0","1"
"50",Sn XIII,"12",Sr,[Kr].4d2,"4d2",3F<2>,4d 2D<3/2>,258,3,L8672c99,"0","1"
"50",Sn XIV,"13",Rb,[Kr].4d,4d,2D<3/2>,4p6 1S<0>,282,3,L8672c99,"0","1"
"50",Sn XV,"14",Kr,[Ar].3d10.4s2.4p6,4p6,1S0,4p5 2P*<3/2>,379,3,L8672c99,"0","1"
"50",Sn XVI,"15",Br,[Ar].3d10.4s2.4p5,4p5,2P*<3/2>,4p4 3P<2>,407,3,L8672c99,"0","1"
"50",Sn XVII,"16",Se,[Ar].3d10.4s2.4p4,4p4,3P<2>,4p3 4S*<3/2>,437,3,L8672c99,"0","1"
"50",Sn XVIII,"17",As,[Ar].3d10.4s2.4p3,4p3,4S*<3/2>,4p2 3P<0>,466,3,L8672c99,"0","1"
"50",Sn XIX,"18",Ge,[Ar].3d10.4s2.4p2,4p2,3P0,4p 2P*<1/2>,506,3,L8672c99,"0","1"
"50",Sn XX,"19",Ga,[Ar].3d10.4s2.4p,4p,2P*<1/2>,4s2 1S<0>,537,4,L8672c99,"0","1"
"50",Sn XXI,"20",Zn,[Ar].3d10.4s2,4s2,1S0,4s 2S<1/2>,608,4,L8672c99,"0","1"
"50",Sn XXII,"21",Cu,[Ar].3d10.4s,4s,2S<1/2>,3d10 1S<0>,642.35,0.22,L5953,"1","0"
"50",Sn XXIII,"22",Ni,[Ar].3d10,"3d10",1S0,3d9 2D<5/2>,1127,4,L8672c99,"0","1"
"50",Sn XXIV,"23",Co,[Ar].3d9,"3d9",2D<5/2>,3d8 3F<4>,1195,4,L8672c99,"0","1"
"50",Sn XXV,"24",Fe,[Ar].3d8,"3d8",3F<4>,3d7 4F<9/2>,1269,4,L8672c99,"0","1"
"50",Sn XXVI,"25",Mn,[Ar].3d7,"3d7",4F<9/2>,3d6 5D<4>,1347,4,L8672c99,"0","1"
"50",Sn XXVII,"26",Cr,[Ar].3d6,"3d6",5D<4>,3d5 6S<5/2>,1421,4,L8672c99,"0","1"
"50",Sn XXVIII,"27",V,[Ar].3d5,"3d5",6S<5/2>,3d4 5D<0>,1508,4,L8672c99,"0","1"
"50",Sn XXIX,"28",Ti,[Ar].3d4,"3d4","5D0",3d3 4F<3/2>,1596,4,L8672c99,"0","1"
"50",Sn XXX,"29",Sc,[Ar].3d3,"3d3",4F<3/2>,3d2 3F<2>,1676,4,L8672c99,"0","1"
"50",Sn XXXI,"30",Ca,[Ar].3d2,"3d2",3F<2>,3d 2D<3/2>,1763,4,L8672c99,"0","1"
"50",Sn XXXII,"31",K,[Ar].3d,3d,2D<3/2>,3p6 1S<0>,1844,4,L8672c99,"0","1"
"50",Sn XXXIII,"32",Ar,[Ne].3s2.3p6,3p6,1S0,3p5 2P*<3/2>,2074,6,L11770,"1","0"
"50",Sn XXXIV,"33",Cl,[Ne].3s2.3p5,3p5,2P*<3/2>,3p4 3P<2>,2142.1,2.1,L11770,"1","0"
"50",Sn XXXV,"34",S,[Ne].3s2.3p4,3p4,3P<2>,3p3 4S*<3/2>,2227,3,L11770,"1","0"
"50",Sn XXXVI,"35",P,[Ne].3s2.3p3,3p3,4S*<3/2>,3p2 3P<0>,2326,9,L11770,"1","0"
"50",Sn XXXVII,"36",Si,[Ne].3s2.3p2,3p2,3P0,3p 2P*<1/2>,2443,5,L11770,"1","0"
"50",Sn XXXVIII,"37",Al,[Ne].3s2.3p,3p,2P*<1/2>,3s2 1S<0>,2499,11,L11770,"1","0"
"50",Sn XXXIX,"38",Mg,[Ne].3s2,3s2,1S0,3s 2S<1/2>,2687,4,L11770,"1","0"
"50",Sn XL,"39",Na,[Ne].3s,3s,2S<1/2>,2p6 1S<0>,2762.49,0.08,L11770,"1","0"
"50",Sn XLI,"40",Ne,1s2.2s2.2p6,2p6,1S0,2p5 2P*<3/2>,6421,3,L11770,"1","0"
"50",Sn XLII,"41",F,1s2.2s2.2p5,2p5,2P*<3/2>,2p4 3P<2>,6631,10,L11770,"1","0"
"50",Sn XLIII,"42",O,1s2.2s2.2p4,2p4,3P<2>,"2p2<1/2>.2p<3/2> (0,3/2)*<3/2>",6859,13,L11770,"1","0"
"50",Sn XLIV,"43",N,1s2.2s2.2p3,2p2<1/2>.2p<3/2>,"(0,3/2)*<3/2>",2p2 3P<0>,7080,50,L11770,"1","0"
"50",Sn XLV,"44",C,1s2.2s2.2p2,2p2,3P0,2p 2P*<1/2>,7531,8,L11770,"1","0"
"50",Sn XLVI,"45",B,1s2.2s2.2p,2p,2P*<1/2>,2s2 1S<0>,7790,4,L8672c99,"0","1"
"50",Sn XLVII,"46",Be,1s2.2s2,2s2,1S0,2s 2S<1/2>,8103,7,L11770,"1","0"
"50",Sn XLVIII,"47",Li,1s2.2s,2s,2S<1/2>,1s2 1S<0>,8306.95,0.04,L16264c99,"0","1"
"50",Sn XLIX,"48",He,1s2,1s2,1S0,1s 2S<1/2>,34257.148,0.022,L21139,"0","1"
"50",Sn L,"49",H,1s,1s,2S<1/2>,,35192.501,0.011,L19200,"0","1"
"51",Sb I,"0",Sb,[Cd].5p3,5p3,4S*<3/2>,5s2.5p2 3P<0>,8.608389,1.2e-05,"L8844,L6684","0","0"
"51",Sb II,"1",Sn,[Cd].5p2,5s2.5p2,3P0,5s2.5p 2P<1/2>,16.626,0.025,"L16370,L8844","0","0"
"51",Sb III,"2",In,[Cd].5p,5s2.5p,2P*<1/2>,5s2 1S<0>,25.3235,,"L3466,L16241","0","0"
"51",Sb IV,"3",Cd,[Kr].4d10.5s2,5s2,1S0,5s 2S<1/2>,43.804,0.025,L11767,"0","0"
"51",Sb V,"4",Ag,[Kr].4d10.5s,4d10.5s,2S<1/2>,4d10 1S<0>,55,0.1,L5984,"1","0"
"51",Sb VI,"5",Pd,[Kr].4d10,"4d10",1S0,4d9 2D<5/2>,99.51,0.05,L11384,"0","0"
"51",Sb VII,"6",Rh,[Kr].4d9,"4d9",2D<5/2>,4d8 3F<4>,117,2,L8672c99,"0","1"
"51",Sb VIII,"7",Ru,[Kr].4d8,"4d8",3F<4>,4d7 4F<9/2>,139,2.1,L8672c99,"0","1"
"51",Sb IX,"8",Tc,[Kr].4d7,"4d7",4F<9/2>,4d6 5D<4>,162,2.2,L8672c99,"0","1"
"51",Sb X,"9",Mo,[Kr].4d6,"4d6",5D<4>,4d5 6S<5/2>,185,2.2,L8672c99,"0","1"
"51",Sb XI,"10",Nb,[Kr].4d5,"4d5",6S<5/2>,4d4 5D<0>,214,2.4,L8672c99,"0","1"
"51",Sb XII,"11",Zr,[Kr].4d4,"4d4","5D0",4d3 4F<3/2>,238,2.5,L8672c99,"0","1"
"51",Sb XIII,"12",Y,[Kr].4d3,"4d3",4F<3/2>,4d2 3F<2>,265,3,L8672c99,"0","1"
"51",Sb XIV,"13",Sr,[Kr].4d2,"4d2",3F<2>,4d 2D<3/2>,292,3,L8672c99,"0","1"
"51",Sb XV,"14",Rb,[Kr].4d,4d,2D<3/2>,4p6 1S<0>,317,3,L8672c99,"0","1"
"51",Sb XVI,"15",Kr,[Ar].3d10.4s2.4p6,4p6,1S0,4p5 2P*<3/2>,420,3,L8672c99,"0","1"
